country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
Afghanistan,Electricity - Final energy consumption,2014,"Kilowatt-hours, million",3767.3,1,total_electricity
Afghanistan,Electricity - Final energy consumption,2013,"Kilowatt-hours, million",3022,,total_electricity
Afghanistan,Electricity - Final energy consumption,2012,"Kilowatt-hours, million",3265,,total_electricity
Afghanistan,Electricity - Final energy consumption,2011,"Kilowatt-hours, million",2300,,total_electricity
Afghanistan,Electricity - Final energy consumption,2010,"Kilowatt-hours, million",2400,,total_electricity
Afghanistan,Electricity - Final energy consumption,2009,"Kilowatt-hours, million",1600,1,total_electricity
Afghanistan,Electricity - Final energy consumption,2008,"Kilowatt-hours, million",1500,1,total_electricity
Afghanistan,Electricity - Final energy consumption,2007,"Kilowatt-hours, million",1500,1,total_electricity
Afghanistan,Electricity - Final energy consumption,2006,"Kilowatt-hours, million",1240,1,total_electricity
Afghanistan,Electricity - Final energy consumption,2005,"Kilowatt-hours, million",860,1,total_electricity
Afghanistan,Electricity - Final energy consumption,2004,"Kilowatt-hours, million",860,1,total_electricity
Afghanistan,Electricity - Final energy consumption,2003,"Kilowatt-hours, million",882,1,total_electricity
Afghanistan,Electricity - Final energy consumption,2002,"Kilowatt-hours, million",652,1,total_electricity
Afghanistan,Electricity - Final energy consumption,2001,"Kilowatt-hours, million",620,1,total_electricity
Afghanistan,Electricity - Final energy consumption,2000,"Kilowatt-hours, million",617,1,total_electricity
Afghanistan,Electricity - Final energy consumption,1999,"Kilowatt-hours, million",614,1,total_electricity
Afghanistan,Electricity - Final energy consumption,1998,"Kilowatt-hours, million",594,1,total_electricity
Afghanistan,Electricity - Final energy consumption,1997,"Kilowatt-hours, million",603,1,total_electricity
Afghanistan,Electricity - Final energy consumption,1996,"Kilowatt-hours, million",616,1,total_electricity
Afghanistan,Electricity - Final energy consumption,1995,"Kilowatt-hours, million",626,1,total_electricity
Afghanistan,Electricity - Final energy consumption,1994,"Kilowatt-hours, million",640,1,total_electricity
Afghanistan,Electricity - Final energy consumption,1993,"Kilowatt-hours, million",650,1,total_electricity
Afghanistan,Electricity - Final energy consumption,1992,"Kilowatt-hours, million",294,1,total_electricity
Afghanistan,Electricity - Final energy consumption,1991,"Kilowatt-hours, million",360,1,total_electricity
Afghanistan,Electricity - Final energy consumption,1990,"Kilowatt-hours, million",404,1,total_electricity
Albania,Electricity - Final energy consumption,2014,"Kilowatt-hours, million",6523.2,,total_electricity
Albania,Electricity - Final energy consumption,2013,"Kilowatt-hours, million",6892.14,,total_electricity
Albania,Electricity - Final energy consumption,2012,"Kilowatt-hours, million",5759.64,,total_electricity
Albania,Electricity - Final energy consumption,2011,"Kilowatt-hours, million",5657.16,,total_electricity
Albania,Electricity - Final energy consumption,2010,"Kilowatt-hours, million",5667.92,,total_electricity
Albania,Electricity - Final energy consumption,2009,"Kilowatt-hours, million",5373.83,,total_electricity
Albania,Electricity - Final energy consumption,2008,"Kilowatt-hours, million",4747.68,,total_electricity
Albania,Electricity - Final energy consumption,2007,"Kilowatt-hours, million",3456,1,total_electricity
Albania,Electricity - Final energy consumption,2006,"Kilowatt-hours, million",3477,,total_electricity
Albania,Electricity - Final energy consumption,2005,"Kilowatt-hours, million",5163,,total_electricity
Albania,Electricity - Final energy consumption,2004,"Kilowatt-hours, million",3671,,total_electricity
Albania,Electricity - Final energy consumption,2003,"Kilowatt-hours, million",3957,,total_electricity
Albania,Electricity - Final energy consumption,2002,"Kilowatt-hours, million",4378,,total_electricity
Albania,Electricity - Final energy consumption,2001,"Kilowatt-hours, million",3516,,total_electricity
Albania,Electricity - Final energy consumption,2000,"Kilowatt-hours, million",3629,,total_electricity
Albania,Electricity - Final energy consumption,1999,"Kilowatt-hours, million",3413,,total_electricity
Albania,Electricity - Final energy consumption,1998,"Kilowatt-hours, million",2235,,total_electricity
Albania,Electricity - Final energy consumption,1997,"Kilowatt-hours, million",2104,,total_electricity
Albania,Electricity - Final energy consumption,1996,"Kilowatt-hours, million",2762,,total_electricity
Albania,Electricity - Final energy consumption,1995,"Kilowatt-hours, million",1995,,total_electricity
Albania,Electricity - Final energy consumption,1994,"Kilowatt-hours, million",1808,,total_electricity
Albania,Electricity - Final energy consumption,1993,"Kilowatt-hours, million",2073,1,total_electricity
Albania,Electricity - Final energy consumption,1992,"Kilowatt-hours, million",2391,,total_electricity
Albania,Electricity - Final energy consumption,1991,"Kilowatt-hours, million",1893,,total_electricity
Albania,Electricity - Final energy consumption,1990,"Kilowatt-hours, million",2500,1,total_electricity
Algeria,Electricity - Final energy consumption,2014,"Kilowatt-hours, million",45733,,total_electricity
Algeria,Electricity - Final energy consumption,2013,"Kilowatt-hours, million",43158,,total_electricity
Algeria,Electricity - Final energy consumption,2012,"Kilowatt-hours, million",40777,,total_electricity
Algeria,Electricity - Final energy consumption,2011,"Kilowatt-hours, million",35867,,total_electricity
Algeria,Electricity - Final energy consumption,2010,"Kilowatt-hours, million",33470,,total_electricity
Algeria,Electricity - Final energy consumption,2009,"Kilowatt-hours, million",27911,,total_electricity
Algeria,Electricity - Final energy consumption,2008,"Kilowatt-hours, million",29953,,total_electricity
Algeria,Electricity - Final energy consumption,2007,"Kilowatt-hours, million",27991,,total_electricity
Algeria,Electricity - Final energy consumption,2006,"Kilowatt-hours, million",26456,,total_electricity
Algeria,Electricity - Final energy consumption,2005,"Kilowatt-hours, million",25287,,total_electricity
Algeria,Electricity - Final energy consumption,2004,"Kilowatt-hours, million",23653,,total_electricity
Algeria,Electricity - Final energy consumption,2003,"Kilowatt-hours, million",22699,,total_electricity
Algeria,Electricity - Final energy consumption,2002,"Kilowatt-hours, million",20739,,total_electricity
Algeria,Electricity - Final energy consumption,2001,"Kilowatt-hours, million",19664,,total_electricity
Algeria,Electricity - Final energy consumption,2000,"Kilowatt-hours, million",18592,,total_electricity
Algeria,Electricity - Final energy consumption,1999,"Kilowatt-hours, million",17508,,total_electricity
Algeria,Electricity - Final energy consumption,1998,"Kilowatt-hours, million",16228,,total_electricity
Algeria,Electricity - Final energy consumption,1997,"Kilowatt-hours, million",15197,,total_electricity
Algeria,Electricity - Final energy consumption,1996,"Kilowatt-hours, million",15035,,total_electricity
Algeria,Electricity - Final energy consumption,1995,"Kilowatt-hours, million",14505,,total_electricity
